# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_primary_distance_targets.py on 2026-09-04.
# Table: srv2023_commute_distance_by_kreis.csv
# Universe: persons with a home<->own-workplace trip (V_ZWECK 1)
# Observation unit: PERSON -- first home->purpose trip (V_START_LAGE == 1), else first
#   purpose->home trip (V_ZIEL_LAGE == 1); business trips (V_ZWECK 2) and 'andere
#   Bildungseinrichtung' (V_ZWECK 7) excluded. Reporting days are Tue-Thu only.
# Distance: GIS_LAENGE (routed km) where GIS_LAENGE_GUELTIG > 0; GIS-invalid trips fall
#   back to the other direction (R5); a negative weight or an over-cap distance on the
#   SELECTED trip excludes the person (R6, no fallback -- see the module docstring).
# Weight: GEWICHT_W_ZENSUS >= 0 (expansion to Zensus 2022; the stratum-internal
#   GEWICHT_W must not be used across strata; GEWICHT_W_WERKTAG is undefined here).
# Kreis: first 5 digits of the household AGS. Wolfsburg (03103) is NOT surveyed: its row
#   is the RegioStaR-7 type-72 pool (Braunschweig + Salzgitter), source = proxy_rs7_72
#   -- an ASSUMPTION recorded in the reference ADR. Per R11, the Wolfsburg proxy row
#   carries the RS7-72 pool's RAW shares/quantiles in BOTH the raw and the shrunk
#   columns (a pool is not shrunk further).
# Shrinkage: share_*_shrunk = n/(n+k) * Kreis + k/(n+k) * pool, pool = dominant RS7 type
#   (itself shrunk toward ZGB), k = 100 persons.
# Coverage caveat: stratified PSU design over ~44 selected municipalities; per-Kreis rows
#   represent the covered municipalities (ASSUMPTION-grade for the full Kreis).
# Noise floor: emd_noise_95_* is the 95th percentile of the bootstrap EMD
#   (n_bootstrap=500, seed=0), normalised to [0, 1] exactly like
#   braunschweig.calibration.metrics.emd_on_bands (same formula, re-implemented
#   locally to avoid a pipeline import).
# Bands (routed km): [0.0, 5.0, 10.0, 20.0, 30.0, 50.0, 100.0, inf] -> labels ['0_5', '5_10', '10_20', '20_30', '30_50', '50_100', '100_plus']; scopes all / inter / intra
# (intra = start AGS == destination AGS, i.e. same Gemeinde).
# ASSUMPTION: GIS-invalid trips (16.9% of 9730 candidate trips,
#   1643 trips) are treated as missing at random with respect to
#   distance. Bias check: see ADR-0102 Assumption 2 (reproducible with
#   scripts/extract_srv_primary_distance_targets.py --bias-check). A person drops out
#   when EVERY candidate trip of that person (in either direction) is GIS-invalid;
#   persons observed in only one direction drop out when that trip is invalid
#   (835 persons here; n_excluded_gis_invalid above
#   is the TRIP-level count of both directions, see the Exclusions units note).
#   The commute band 100_plus is 0.0 in every row: no GIS-valid home-based trip
#   >= 100 km exists in this delivery, so that band cannot be calibrated from SrV.
# Exclusions: n_candidate_trips=9730, n_pool_weight_negative=0, n_pool_over_cap=8, n_excluded_gis_invalid=1643, n_persons_dropped_gis_invalid=835, n_excluded_weight_negative=0, n_excluded_over_cap=0, n_excluded_no_kreis=0, n_missing_age=0, n_missing_regiostar7=0, n_missing_trip_ags=1, share_start_ags_equals_household_ags=1.0, n_persons_selected=4543 (units: n_candidate_trips, n_pool_weight_negative, n_pool_over_cap, n_excluded_gis_invalid are candidate TRIPS; n_persons_dropped_gis_invalid, n_excluded_weight_negative, n_excluded_over_cap, n_excluded_no_kreis, n_missing_* and n_persons_selected are PERSONS; share_start_ags_equals_household_ags is a share over persons with a known trip AGS)
level_geo,code,source,n_persons,n_persons_inter,n_persons_intra,mean_km,median_km,share_intra,share_all_0_5,share_all_5_10,share_all_10_20,share_all_20_30,share_all_30_50,share_all_50_100,share_all_100_plus,share_all_shrunk_0_5,share_all_shrunk_5_10,share_all_shrunk_10_20,share_all_shrunk_20_30,share_all_shrunk_30_50,share_all_shrunk_50_100,share_all_shrunk_100_plus,emd_noise_95_all,share_inter_0_5,share_inter_5_10,share_inter_10_20,share_inter_20_30,share_inter_30_50,share_inter_50_100,share_inter_100_plus,share_inter_shrunk_0_5,share_inter_shrunk_5_10,share_inter_shrunk_10_20,share_inter_shrunk_20_30,share_inter_shrunk_30_50,share_inter_shrunk_50_100,share_inter_shrunk_100_plus,emd_noise_95_inter,share_intra_0_5,share_intra_5_10,share_intra_10_20,share_intra_20_30,share_intra_30_50,share_intra_50_100,share_intra_100_plus,share_intra_shrunk_0_5,share_intra_shrunk_5_10,share_intra_shrunk_10_20,share_intra_shrunk_20_30,share_intra_shrunk_30_50,share_intra_shrunk_50_100,share_intra_shrunk_100_plus,emd_noise_95_intra
kreis,03101,srv,1272,353,919,12.43375637,6.604712918,0.7290625747,0.3917864345,0.2610239723,0.1431938199,0.06672732008,0.1095409835,0.02772746972,0,0.3881481567,0.2593157621,0.1455889301,0.068792527,0.1094932435,0.02866138058,0,0.0205243945,0,0.02016527115,0.2297486253,0.2434434609,0.4043036259,0.1023390168,0,0.001275663318,0.02758289348,0.2264300229,0.2505086529,0.3875772093,0.1066255581,0,0.02451641707,0.5373838242,0.3505329372,0.1110279443,0.001055294292,0,0,0,0.5344007369,0.3481089295,0.1158849272,0.00160540641,0,0,0,0.009741062428
kreis,03102,srv,387,156,231,18.38770875,13.76180539,0.5686424142,0.2162936091,0.1853648749,0.2551147543,0.1658576186,0.1028261126,0.07454303049,0,0.2420791645,0.1960881711,0.2388806633,0.1513205222,0.104070441,0.06756103792,0,0.03668688844,0.01181897131,0.09381593888,0.1341306094,0.3490462948,0.2383778934,0.1728102923,0,0.009459511748,0.07817186132,0.1656090263,0.3202972658,0.2735947157,0.1528676191,0,0.04072753385,0.3714028376,0.2548115553,0.3468902311,0.02689537602,0,0,0,0.4123645676,0.2762679732,0.2905852068,0.02078225238,0,0,0,0.02455276119
kreis,03103,proxy_rs7_72,1659,509,1150,14.03478194,7.936520522,0.6859253839,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0,0.01850190425,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0,0.022091915,0.50038281,0.3291944195,0.1636071223,0.006815648245,0,0,0,0.50038281,0.3291944195,0.1636071223,0.006815648245,0,0,0,0.01025585314
kreis,03151,srv,849,670,179,20.16456994,17.51403519,0.245568684,0.1968529907,0.1297644435,0.2436329695,0.1821428813,0.2043349479,0.04327176707,0,0.2070008298,0.1316545098,0.2427067773,0.1789914892,0.1960701319,0.04357626207,0,0.03980889124,0.01745604605,0.1191100739,0.293800055,0.2414307008,0.270846323,0.05735680128,0,0.01684070026,0.1156646133,0.3014311128,0.2428024721,0.2632784115,0.05998269011,0,0.03561568431,0.7479927811,0.1624965897,0.08951062913,0,0,0,0,0.7307814197,0.1891404094,0.07968673175,0.0003914391406,0,0,0,0.02115289206
kreis,03153,srv,570,295,275,15.46534058,9.850228658,0.4860368929,0.3320927334,0.1760380328,0.2097316675,0.1265014564,0.112738979,0.04289713097,0,0.3316375467,0.1796093276,0.2089333313,0.1233332484,0.1136803213,0.04280622463,0,0.02438933836,0.0105641235,0.1122567019,0.332545357,0.2418180944,0.2193522792,0.08346344393,0,0.01178081311,0.1037581265,0.3282285904,0.2393917416,0.2308629991,0.08597772918,0,0.02809066918,0.6720954076,0.2434840465,0.07986147372,0.004559072187,0,0,0,0.6471725905,0.2576438694,0.09013440713,0.005049132976,0,0,0,0.01492002055
kreis,03154,srv,430,348,82,19.59919361,14.63957417,0.2859253739,0.2532496874,0.08364288725,0.3157414418,0.08397206392,0.1928216136,0.07057230605,0,0.2607791772,0.09572935623,0.3004776613,0.09685208392,0.180195242,0.06596647935,0,0.0392377993,0.01205579724,0.05931937675,0.4421686898,0.1175956418,0.2700300592,0.09883043519,0,0.01220358434,0.06674362902,0.4221665716,0.1475951279,0.2572049131,0.09408617405,0,0.03771698515,0.8556111866,0.1443888134,0,0,0,0,0,0.7700957449,0.1951822383,0.03412195353,0.000600063298,0,0,0,0.01500290048
kreis,03157,srv,581,430,151,18.41891146,13.58835017,0.310424862,0.2134063486,0.1817446861,0.2504271089,0.1645261446,0.1326588329,0.05723687896,0,0.2251170145,0.1767456386,0.2481387529,0.1627214493,0.1316666172,0.05561052736,0,0.02727412364,0.02079981245,0.1128573942,0.3523714552,0.2385905981,0.1923776331,0.08300310699,0,0.01927492018,0.1090314758,0.3524068788,0.2411194173,0.196188156,0.08197915195,0,0.02443105485,0.6412608636,0.3347703282,0.02396880821,0,0,0,0,0.6646521859,0.2957514113,0.03916129714,0.0004351056583,0,0,0,0.01524699319
kreis,03158,srv,454,341,113,14.77858383,12.66904437,0.3518420003,0.3063215312,0.08784277866,0.3555421118,0.1534348514,0.06891829396,0.02794043299,0,0.3039450785,0.09864754296,0.3337553416,0.1532184829,0.07920413334,0.03122942063,0,0.02938841415,0.01897963004,0.0788639841,0.5159950201,0.2367244584,0.1063294659,0.04310744139,0,0.01755973285,0.0819741979,0.4789347435,0.2401867898,0.130421062,0.05092347402,0,0.02947068998,0.8356584259,0.1043833779,0.05995819623,0,0,0,0,0.7719563868,0.1665662271,0.06096465595,0.000512730142,0,0,0,0.02212522461
rs7,72,srv,1659,509,1150,14.03478194,7.936520522,0.6859253839,0.3445961845,0.2406791422,0.1732895054,0.09338358686,0.1077353459,0.04031623517,0,0.3418692637,0.2375873276,0.1760547311,0.09506195894,0.108885992,0.04054072667,0,0.01850190425,0.004364929093,0.04736560304,0.1944354116,0.2824442224,0.3430246839,0.1283651499,0,0.005778754831,0.05376710032,0.2147153567,0.2754487807,0.3285329586,0.1217570489,0,0.022091915,0.50038281,0.3291944195,0.1636071223,0.006815648245,0,0,0,0.5069861639,0.3258322986,0.1605206007,0.006660936782,0,0,0,0.01025585314
rs7,73,srv,946,599,347,16.84974793,12.16550681,0.3884914413,0.2927887886,0.1436215798,0.2362084768,0.1553365947,0.1256826722,0.04636188798,0,0.2931559836,0.1477011729,0.2348434049,0.1522361699,0.1259018441,0.04616142455,0,0.02039742247,0.0126749378,0.09361997775,0.358338653,0.254021947,0.205528885,0.0758155995,0,0.01271788344,0.09258002692,0.3525592001,0.2519933398,0.2125734045,0.07757614528,0,0.0185809043,0.7337045951,0.2223270655,0.04396833939,0,0,0,0,0.6999730827,0.2368328467,0.06210195542,0.001092115202,0,0,0,0.01183336698
rs7,74,srv,1295,1131,164,19.14655151,15.63437404,0.1311637736,0.1293926995,0.1241553609,0.394876327,0.167388912,0.1349803943,0.04920630645,0,0.1413810112,0.1286097524,0.3824787283,0.1642001837,0.1344782306,0.04885209384,0,0.02106055563,0.02484962552,0.1276377543,0.4428614305,0.1926587623,0.1553576959,0.05663473155,0,0.02388500345,0.1242838117,0.4327134895,0.1964916802,0.1634334376,0.05919257745,0,0.02301635086,0.8218919117,0.1010877905,0.07702029776,0,0,0,0,0.7313740416,0.1715726833,0.09520412552,0.001849149604,0,0,0,0.01885056572
rs7,75,srv,239,91,148,14.85804516,8.698237176,0.5820031824,0.3426050469,0.2056860369,0.19704097,0.09789718712,0.1153098898,0.04146086937,0,0.3290429825,0.1999657085,0.2043828151,0.1052744628,0.1190459726,0.04228805852,0,0.03717328272,0.01800182728,0.07026601886,0.3128060542,0.2238735813,0.2758630805,0.09918943787,0,0.01537004747,0.07868732912,0.315494129,0.2322340007,0.264819623,0.09339487067,0,0.04385324006,0.5757362683,0.3029451899,0.1138980625,0.007420479326,0,0,0,0.5786348434,0.2965833825,0.118384974,0.006396800144,0,0,0,0.02238727283
rs7,76,srv,210,123,87,16.96204005,12.40964209,0.3727242339,0.3289553665,0.1039761143,0.2183108425,0.1751337595,0.1165537913,0.05707012599,0,0.3185277155,0.1305303108,0.2194782562,0.1582861441,0.1202381201,0.05293945328,0,0.04436728722,0.009422605254,0.1034141448,0.3311754442,0.2791973944,0.1858094918,0.09098091952,0,0.01101566471,0.09576238548,0.3252403917,0.2615492276,0.2167335208,0.08969880966,0,0.04147422128,0.8667126126,0.10492188,0.02836550741,0,0,0,0,0.714954389,0.2023796487,0.08005539813,0.002610564147,0,0,0,0.01562819731
rs7,77,srv,194,140,54,27.41678633,29.56673659,0.172787139,0.1450396317,0.1044784926,0.1886306036,0.0690904441,0.4453534148,0.04740741323,0,0.1966008619,0.1323069385,0.1999568694,0.08739510655,0.3374016447,0.04633857899,0,0.09983994368,0.01285773171,0.07990072131,0.228031517,0.08352196557,0.5383782528,0.05730981161,0,0.01290664676,0.08258822137,0.2654935004,0.1486553059,0.4202081794,0.07014814616,0,0.08273598546,0.7778562194,0.2221437806,0,0,0,0,0,0.6512773331,0.2643672397,0.08118545653,0.00316997075,0,0,0,0.02361680625
zgb,zgb,srv,4543,2593,1950,16.06878934,10.61908741,0.4976835099,0.2966296485,0.1862941235,0.221929825,0.1229061517,0.1279752106,0.04426504057,0,0.2966296485,0.1862941235,0.221929825,0.1229061517,0.1279752106,0.04426504057,0,0.01226836262,0.01297512784,0.08635072146,0.3179402772,0.2398419824,0.2547700766,0.08812181453,0,0.01297512784,0.08635072146,0.3179402772,0.2398419824,0.2547700766,0.08812181453,0,0.01291498992,0.5829247345,0.2871679075,0.125025603,0.004881754955,0,0,0,0.5829247345,0.2871679075,0.125025603,0.004881754955,0,0,0,0.007827294659
