# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_primary_distance_targets.py on 2026-09-04.
# Table: srv2023_commute_distance_sensitivity_by_kreis.csv
# THIS TABLE IS A SENSITIVITY MEASUREMENT, NOT A CALIBRATION TARGET (addendum Task 15,
#   item 3). It quantifies how much two known caveats of
#   srv2023_commute_distance_by_kreis.csv move the reference if resolved differently; the
#   committed TARGET stays that file's all/inter/intra GIS-only definition.
# Universe: persons with a home<->own-workplace trip (V_ZWECK 1), same person/trip/weight
#   selection rule as the commute table (see that table's own header for the definitions).
# Variants (one full kreis/rs7/zgb row set each, column `variant`):
#   inter_zgb: from the GIS-only selection, inter-Gemeinde persons (destination Gemeinde
#     != home Gemeinde) whose destination Kreis (first 5 digits of the trip's
#     away-direction AGS, column dest_ags8) is one of the 8 ZGB Kreise -- i.e.
#     inter-Gemeinde commutes that stay WITHIN the surveyed ZGB polygon. Compare against
#     the commute table's `inter` scope: the gap between the two measures how much
#     `inter` is diluted by destinations leaving the polygon (the 'polygon-external
#     destinations' caveat). Persons with an unknown destination AGS are excluded from
#     both the numerator and denominator of this variant (see the run log).
#   all_gis_fallback: every person of the gis_or_self_reported selection (distance =
#     GIS_LAENGE where GIS_LAENGE_GUELTIG > 0, else the self-reported V_LAENGE where
#     V_LAENGE > 0; a trip with neither is excluded, n_excluded_no_length below). This
#     selection RE-RUNS the home<->purpose direction pick (Step 1 of
#     select_person_observations), it does not merely add the GIS-only selection's
#     dropped persons back in -- a person whose preferred direction was GIS-invalid but
#     whose OTHER direction is both GIS-valid AND was already the GIS-only selection's
#     pick may now instead select a different (e.g. self-reported) leg if it ranks
#     higher in the direction preference order, so all_gis_fallback / inter_gis_fallback
#     are NOT simply 'the main selection plus recovered persons'.
#     Compare against the commute table's `all` scope: the gap measures how much
#     recovering the GIS-invalid tail via the self-reported length would move the target
#     (the 'GIS-invalid tail' caveat).
#   inter_gis_fallback: the gis_or_self_reported selection restricted to inter-Gemeinde
#     persons; compare against the commute table's `inter` scope.
# ASSUMPTION (fix round 1, #358): the *_gis_fallback variants mix GIS-routed km
#   (GIS-valid trips) with self-reported km (GIS-invalid trips) WITHOUT rescaling --
#   justified by the measured GIS/self-reported ratio recorded in ADR-0102 Assumption 2
#   (not restated here; reproduce with --bias-check).
# Bands (routed km): [0.0, 5.0, 10.0, 20.0, 30.0, 50.0, 100.0, inf] -> labels ['0_5', '5_10', '10_20', '20_30', '30_50', '50_100', '100_plus'].
# Shrinkage: share_shrunk = n/(n+k) * Kreis + k/(n+k) * pool, pool = dominant RS7 type
#   (itself shrunk toward ZGB), k = 100 persons -- computed
#   SEPARATELY per variant (a Kreis's dominant RS7 type can differ between the GIS-only
#   and the gis_or_self_reported selection, AND between two variants of this table --
#   see the build_commute_sensitivity_table docstring on comparing shrunk shares across
#   tables).
# Noise floor: emd_noise_95 is the 95th percentile of the bootstrap EMD (n_bootstrap=500, seed=0), normalised to [0, 1] exactly like
#   braunschweig.calibration.metrics.emd_on_bands (same formula, re-implemented locally
#   to avoid a pipeline import).
# Exclusions, GIS-only selection (feeds inter_zgb; this selection has no self-reported
#   fallback at all, so n_persons_self_reported_distance is omitted below by construction): n_candidate_trips=9730, n_pool_weight_negative=0, n_pool_over_cap=8, n_excluded_gis_invalid=1643, n_persons_dropped_gis_invalid=835, n_excluded_weight_negative=0, n_excluded_over_cap=0, n_excluded_no_kreis=0, n_missing_age=0, n_missing_regiostar7=0, n_missing_trip_ags=1, share_start_ags_equals_household_ags=1.0, n_persons_selected=4543
# Exclusions, gis_or_self_reported selection (feeds all_gis_fallback / inter_gis_fallback;
#   n_persons_self_reported_distance / share_persons_self_reported_distance is the
#   primary(GIS)-vs-fallback(self-reported) rate, CLAUDE.md no-silent-fallback rule): n_candidate_trips=9730, n_pool_weight_negative=0, n_pool_over_cap=6, n_excluded_no_length=426, n_persons_dropped_no_length=199, n_excluded_weight_negative=0, n_excluded_over_cap=5, n_excluded_no_kreis=0, n_missing_age=0, n_missing_regiostar7=0, n_missing_trip_ags=25, share_start_ags_equals_household_ags=1.0, n_persons_selected=5174, n_persons_self_reported_distance=648, share_persons_self_reported_distance=0.125241592578276
# (units: n_candidate_trips, n_pool_weight_negative, n_pool_over_cap, n_excluded_gis_invalid are candidate TRIPS; n_persons_dropped_gis_invalid, n_excluded_weight_negative, n_excluded_over_cap, n_excluded_no_kreis, n_missing_* and n_persons_selected are PERSONS; share_start_ags_equals_household_ags is a share over persons with a known trip AGS) (both Exclusions lines above use this same convention;
#   n_excluded_no_length / n_persons_dropped_no_length are the gis_or_self_reported
#   analogues of n_excluded_gis_invalid / n_persons_dropped_gis_invalid).
variant,level_geo,code,source,n_persons,share_0_5,share_5_10,share_10_20,share_20_30,share_30_50,share_50_100,share_100_plus,share_shrunk_0_5,share_shrunk_5_10,share_shrunk_10_20,share_shrunk_20_30,share_shrunk_30_50,share_shrunk_50_100,share_shrunk_100_plus,emd_noise_95
inter_zgb,kreis,03101,srv,310,0,0.0227066807,0.2587036216,0.2741244041,0.4405187958,0.003946497891,0,0.001635924496,0.03230117161,0.2566280529,0.2803559559,0.420076829,0.009002066106,0,0.02297251973
inter_zgb,kreis,03102,srv,135,0.01452920793,0.1117858584,0.1648884207,0.3812786106,0.2697124678,0.05780543455,0,0.0112007324,0.09061914991,0.2011885778,0.3465531451,0.3067313036,0.04370709115,0,0.03969869795
inter_zgb,kreis,03103,proxy_rs7_72,445,0.005072428477,0.05380595053,0.2259509141,0.3115340173,0.3808869916,0.02274969799,0,0.005072428477,0.05380595053,0.2259509141,0.3115340173,0.3808869916,0.02274969799,0,0.02076494433
inter_zgb,kreis,03151,srv,600,0.01684940844,0.1321119172,0.3226489766,0.2512188022,0.2575831674,0.01958772808,0,0.01780725179,0.132473785,0.3430863805,0.2440026259,0.24330619,0.01932376684,0,0.03809352426
inter_zgb,kreis,03153,srv,246,0.0123005818,0.1307086901,0.3575414235,0.2310495391,0.2077337562,0.06066600929,0,0.01358790862,0.1189180459,0.3568319618,0.2279179042,0.224372244,0.05837193535,0,0.0291856659
inter_zgb,kreis,03154,srv,336,0.01285288465,0.06324136778,0.4680479923,0.09806959418,0.2843487363,0.07343942477,0,0.01530734043,0.07961834572,0.4675119399,0.1216099551,0.2552880916,0.06066432721,0,0.03291102922
inter_zgb,kreis,03157,srv,344,0.02464892861,0.1461104851,0.4420316122,0.2476223267,0.1026802871,0.0369063602,0,0.02218901099,0.1374668065,0.4333396608,0.2504563184,0.1203434047,0.03620479853,0,0.02773162629
inter_zgb,kreis,03158,srv,330,0.020184308,0.0838696509,0.5487463345,0.2355266206,0.09975426325,0.01191882277,0,0.0186825839,0.08941916275,0.5149540122,0.2412658367,0.1186729298,0.01700547476,0,0.02259190085
inter_zgb,rs7,72,srv,445,0.005072428477,0.05380595053,0.2259509141,0.3115340173,0.3808869916,0.02274969799,0,0.006707290435,0.06204409342,0.2501937899,0.2996737667,0.356706732,0.02467432757,0,0.02076494433
inter_zgb,rs7,73,srv,509,0.01367669166,0.1095063677,0.4123518751,0.2628201021,0.1677449914,0.03389997197,0,0.01372689436,0.1077325519,0.4034393483,0.2602052498,0.1811045292,0.03379142636,0,0.01940107712
inter_zgb,rs7,74,srv,1046,0.02446940609,0.1380810492,0.476001073,0.1962896899,0.1489005157,0.01625826615,0,0.02355431185,0.1346449916,0.4657108037,0.2007055678,0.1576443256,0.0177399994,0,0.02206165757
inter_zgb,rs7,75,srv,80,0.02022011568,0.0789246007,0.3513518102,0.1868621211,0.2855508585,0.0770904938,0,0.01675473261,0.08991306102,0.3550866863,0.2202140825,0.2653029242,0.05272851347,0,0.05284220814
inter_zgb,rs7,76,srv,105,0.01093765145,0.120041946,0.3406751744,0.2655256274,0.1774680348,0.08535156598,0,0.0124229074,0.1096331086,0.3491626928,0.2564378343,0.2124126894,0.05993076755,0,0.043845574
inter_zgb,rs7,77,srv,116,0.01590922344,0.09886334983,0.2687881791,0.05525147815,0.5163530208,0.04483474861,0,0.01501718765,0.09878949772,0.3101244791,0.1439756325,0.3926268893,0.0394663137,0,0.1057801024
inter_zgb,zgb,zgb,srv,2301,0.01398242615,0.09870382928,0.3580745871,0.2468956515,0.2491045767,0.0332389292,0,0.01398242615,0.09870382928,0.3580745871,0.2468956515,0.2491045767,0.0332389292,0,0.01308821128
all_gis_fallback,kreis,03101,srv,1419,0.374671876,0.2632258276,0.1547582155,0.07011492634,0.1079789269,0.02581127727,0.003438950469,0.3715193318,0.2615214637,0.1570545891,0.07193788247,0.1078349995,0.02666159342,0.003470140006,0.01913008701
all_gis_fallback,kreis,03102,srv,466,0.2162846734,0.1829965367,0.26857572,0.1615344984,0.09639013771,0.06942939803,0.004789035746,0.2358076516,0.1925972439,0.2546295029,0.150274981,0.09805136248,0.06400504849,0.004634209561,0.03179130531
all_gis_fallback,kreis,03103,proxy_rs7_72,1885,0.328856468,0.2400185379,0.1876813009,0.09655913977,0.1046267299,0.03842834458,0.003829478913,0.328856468,0.2400185379,0.1876813009,0.09655913977,0.1046267299,0.03842834458,0.003829478913,0.01663293296
all_gis_fallback,kreis,03151,srv,962,0.1952546043,0.1329712668,0.2417915338,0.1773982335,0.2071836889,0.0436189146,0.001781758026,0.2039141003,0.1343735297,0.2410379022,0.1739173663,0.2005223462,0.04420323316,0.002031522096,0.03600960898
all_gis_fallback,kreis,03153,srv,641,0.3315567052,0.1761763752,0.2087242107,0.1231157864,0.1050581655,0.04518585692,0.01018290005,0.3324188509,0.1795866298,0.2076384213,0.1198508422,0.1060115054,0.04506514445,0.009428605996,0.02557128864
all_gis_fallback,kreis,03154,srv,492,0.2457818967,0.09005433279,0.3041941676,0.08383535464,0.1849775259,0.07077759571,0.02037912665,0.2527813148,0.09981936085,0.2923012281,0.09339550153,0.1767786583,0.06723820078,0.01768573573,0.03607482806
