17:37:04 │ INFO    │ synthesis.commute_day.state_stage │ [commute day state] parameters: detour_factor=1.300, far_threshold_km=100.0, absent_share_far=1.000, max_not_replaceable_share=0.500, random_seed=1234 (+7301 offset)
17:37:05 │ INFO    │ synthesis.commute_day.state_stage │ [commute day state] escort duty: 100784/870464 persons with a trip (11.6%) have an 'escort' leg on their pre-assignment day
17:37:05 │ INFO    │ synthesis.commute_day.state │ [commute day state] donor distance column: 'wegkm_imp' (first of ('wegkm_imp', 'wegkm') present on the trips frame)
17:37:11 │ INFO    │ synthesis.commute_day.state │ [commute day state] donor distance class: 304900/870464 persons (35.0%) have a usable donor work-trip length; 565564 (65.0%) have no valid work trip and are counted with donor_distance_class=None (no re-draw for them, see keep_probability)
17:37:13 │ INFO    │ synthesis.commute_day.state │ [commute day state] assigned distance class: 304900 workers classified (detour factor 1.30)
17:37:14 │ INFO    │ synthesis.commute_day.state_stage │ [commute day state] donor-distance source (ADR-0104 Amendment 1) per assigned class: {'100_200': '5235/5235 (100.0%)', '10_25': '71528/71528 (100.0%)', '25_50': '54311/54311 (100.0%)', '50_100': '21515/21515 (100.0%)', 'gt200': '10959/10959 (100.0%)', 'lt10': '141352/141352 (100.0%)'}
17:37:14 │ INFO    │ synthesis.commute_day.state │ [commute day state] state draw: 304900 workers, 60970 eligible for re-draw (20.0%), 0 donor class missing (0.0%)
17:37:14 │ INFO    │ synthesis.commute_day.state │ [commute day state] state shares: at_workplace 97.3%, home 1.3%, absent 1.4% (of which escort-protected from absent: 664)
17:37:14 │ INFO    │ synthesis.commute_day.state_stage │ [commute day state] education anchors: 178763 persons have an assigned education location (304900 workers in total)
17:37:15 │ INFO    │ synthesis.commute_day.matching │ [commute day matching] has_license: not present on both frames (MiD donors carry no has_license column) -- skipped as a soft criterion rather than invented.
17:37:15 │ INFO    │ synthesis.commute_day.matching │ [commute day matching] ruling R7 (education anchor): 49/8026 donors carry an education leg; 3983/4098 persons have NO education location and can therefore never receive one of them
17:37:17 │ INFO    │ synthesis.commute_day.matching │ [commute day matching] matched 4098/4098 persons (0.0% not replaceable); by coarsening level (rate of matched persons): {0: '3027/4098 (73.9%)', 2: '207/4098 (5.1%)', 3: '307/4098 (7.5%)', 4: '23/4098 (0.6%)', 5: '534/4098 (13.0%)'}
17:37:17 │ INFO    │ synthesis.commute_day.state_stage │ [commute day state] final states over 304900 workers (304900 of them drawn): {'absent': '4203 (1.4%)', 'at_workplace': '296599 (97.3%)', 'home': '4098 (1.3%)'}; re-draw eligible 20.0% of the drawn, 0/4098 home persons not replaceable (0.0%), coarsening levels used {0: 3027, 2: 207, 3: 307, 4: 23, 5: 534}
17:38:41 │ INFO    │ synthesis.commute_day.plan_replacement │ [commute day plan replacement] reporting-day trips built: 4098 persons replaced (+11464/-36815 trips), 1041/4098 matched donors were IMMOBILE (25.4%, is_immobile, an expected trip-less home-office day) and 0/4098 (0.0%) had zero rows although their donor did travel; 4203 persons absent (0 rows), 0 home persons unmatched (kept unchanged, 271 extra column(s) nulled on replaced rows)
17:38:42 │ INFO    │ synthesis.commute_day.trips_day_stage │ [commute day trips] reporting-day trips: 3367347 rows for 865220 persons (from 3392698 rows for 870464 persons); diagnostics: {'n_persons_replaced': 4098, 'n_persons_absent': 4203, 'n_trips_removed': 36815, 'n_trips_added': 11464, 'n_home_unmatched': 0, 'n_extra_columns_nulled': 271, 'n_donors_without_trips': 0, 'n_donors_immobile': 1041, 'n_donors_unknown_trip_count': 0, 'share_donors_without_trips': 0.0, 'share_donors_immobile': 0.2540263543191801}
